,0,1,2,3,4,5,6,7,8,9,p1,median,p2,time,region
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-01,11
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-02,11
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-03,11
3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7750000000000004,2020-02-04,11
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-05,11
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7750000000000004,2020-02-06,11
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-07,11
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-08,11
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2020-02-09,11
9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7750000000000004,2020-02-10,11
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.7750000000000004,2020-02-11,11
11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7750000000000004,2020-02-12,11
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2020-02-13,11
13,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,2.7750000000000004,2020-02-14,11
14,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.7750000000000004,2020-02-15,11
15,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.5,3.5500000000000007,2020-02-16,11
16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,2020-02-17,11
17,0.0,0.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,3.0,2020-02-18,11
18,0.0,2.0,0.0,1.0,3.0,0.0,2.0,4.0,3.0,1.0,0.0,1.5,3.7750000000000004,2020-02-19,11
19,2.0,0.0,1.0,5.0,2.0,2.0,3.0,2.0,4.0,2.0,0.225,2.0,4.775,2020-02-20,11
20,3.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,8.0,0.0,0.0,0.5,6.875000000000002,2020-02-21,11
21,1.0,2.0,0.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,0.225,2.0,3.7750000000000004,2020-02-22,11
22,0.0,7.0,5.0,5.0,1.0,2.0,0.0,3.0,10.0,4.0,0.0,3.5,9.325000000000001,2020-02-23,11
23,2.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,7.0,6.0,2.0,3.0,6.775,2020-02-24,11
24,1.0,2.0,1.0,7.0,4.0,3.0,2.0,1.0,8.0,7.0,1.0,2.5,7.775,2020-02-25,11
25,3.0,7.0,8.0,7.0,9.0,1.0,8.0,2.0,9.0,6.0,1.225,7.0,9.0,2020-02-26,11
26,4.0,7.0,0.0,5.0,8.0,11.0,4.0,8.0,7.0,14.0,0.9,7.0,13.325000000000001,2020-02-27,11
27,8.0,6.0,5.0,4.0,5.0,16.0,9.0,13.0,13.0,7.0,4.225,7.5,15.325000000000001,2020-02-28,11
28,9.0,8.0,6.0,8.0,12.0,13.0,6.0,12.0,9.0,11.0,6.0,9.0,12.775,2020-02-29,11
